"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
"2000","FLORIDA","FL","DIXIE","12029","US PRESIDENT","OTHER","OTHER","68","4666","20250821","TOTAL"
"2000","INDIANA","IN","NOBLE","18113","US PRESIDENT","OTHER","OTHER","225","14216","20250821","TOTAL"
"2000","IOWA","IA","HARDIN","19083","US PRESIDENT","OTHER","OTHER","74","8435","20250821","TOTAL"
"2000","KANSAS","KS","BUTLER","20015","US PRESIDENT","OTHER","OTHER","373","21002","20250821","TOTAL"
"2000","KANSAS","KS","HARVEY","20079","US PRESIDENT","OTHER","OTHER","171","13684","20250821","TOTAL"
"2000","KANSAS","KS","WOODSON","20207","US PRESIDENT","OTHER","OTHER","41","1595","20250821","TOTAL"
"2000","NEW YORK","NY","CAYUGA","36011","US PRESIDENT","OTHER","OTHER","511","33978","20250821","TOTAL"
"2000","NEW YORK","NY","ORLEANS","36073","US PRESIDENT","OTHER","OTHER","176","15843","20250821","TOTAL"
"2000","TENNESSEE","TN","RHEA","47143","US PRESIDENT","AL GORE","DEMOCRAT","3722","9772","20250821","TOTAL"
"2000","VIRGINIA","VA","BUCKINGHAM","51029","US PRESIDENT","OTHER","OTHER","59","5454","20250821","TOTAL"
"2000","VIRGINIA","VA","PITTSYLVANIA","51143","US PRESIDENT","OTHER","OTHER","454","24255","20250821","TOTAL"
"2000","ALABAMA","AL","AUTAUGA","01001","US PRESIDENT","AL GORE","DEMOCRAT","4942","17208","20250821","TOTAL"
"2000","ALABAMA","AL","AUTAUGA","01001","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","11993","17208","20250821","TOTAL"
"2000","ALABAMA","AL","AUTAUGA","01001","US PRESIDENT","OTHER","OTHER","113","17208","20250821","TOTAL"
"2000","ALABAMA","AL","AUTAUGA","01001","US PRESIDENT","RALPH NADER","GREEN","160","17208","20250821","TOTAL"
"2000","ALABAMA","AL","BALDWIN","01003","US PRESIDENT","AL GORE","DEMOCRAT","13997","56480","20250821","TOTAL"
"2000","ALABAMA","AL","BALDWIN","01003","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","40872","56480","20250821","TOTAL"
"2000","ALABAMA","AL","BALDWIN","01003","US PRESIDENT","OTHER","OTHER","578","56480","20250821","TOTAL"
"2000","ALABAMA","AL","BALDWIN","01003","US PRESIDENT","RALPH NADER","GREEN","1033","56480","20250821","TOTAL"
"2000","ALABAMA","AL","BARBOUR","01005","US PRESIDENT","AL GORE","DEMOCRAT","5188","10395","20250821","TOTAL"
"2000","ALABAMA","AL","BARBOUR","01005","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","5096","10395","20250821","TOTAL"
"2000","ALABAMA","AL","BARBOUR","01005","US PRESIDENT","OTHER","OTHER","65","10395","20250821","TOTAL"
"2000","ALABAMA","AL","BARBOUR","01005","US PRESIDENT","RALPH NADER","GREEN","46","10395","20250821","TOTAL"
"2000","ALABAMA","AL","BIBB","01007","US PRESIDENT","AL GORE","DEMOCRAT","2710","7101","20250821","TOTAL"
"2000","ALABAMA","AL","BIBB","01007","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","4273","7101","20250821","TOTAL"
"2000","ALABAMA","AL","BIBB","01007","US PRESIDENT","OTHER","OTHER","66","7101","20250821","TOTAL"
"2000","ALABAMA","AL","BIBB","01007","US PRESIDENT","RALPH NADER","GREEN","52","7101","20250821","TOTAL"
"2000","ALABAMA","AL","BLOUNT","01009","US PRESIDENT","AL GORE","DEMOCRAT","4977","17973","20250821","TOTAL"
"2000","ALABAMA","AL","BLOUNT","01009","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","12667","17973","20250821","TOTAL"
"2000","ALABAMA","AL","BLOUNT","01009","US PRESIDENT","OTHER","OTHER","175","17973","20250821","TOTAL"
"2000","ALABAMA","AL","BLOUNT","01009","US PRESIDENT","RALPH NADER","GREEN","154","17973","20250821","TOTAL"
"2000","ALABAMA","AL","BULLOCK","01011","US PRESIDENT","AL GORE","DEMOCRAT","3395","4904","20250821","TOTAL"
"2000","ALABAMA","AL","BULLOCK","01011","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","1433","4904","20250821","TOTAL"
"2000","ALABAMA","AL","BULLOCK","01011","US PRESIDENT","OTHER","OTHER","52","4904","20250821","TOTAL"
"2000","ALABAMA","AL","BULLOCK","01011","US PRESIDENT","RALPH NADER","GREEN","24","4904","20250821","TOTAL"
"2000","ALABAMA","AL","BUTLER","01013","US PRESIDENT","AL GORE","DEMOCRAT","3606","7803","20250821","TOTAL"
"2000","ALABAMA","AL","BUTLER","01013","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","4127","7803","20250821","TOTAL"
"2000","ALABAMA","AL","BUTLER","01013","US PRESIDENT","OTHER","OTHER","34","7803","20250821","TOTAL"
"2000","ALABAMA","AL","BUTLER","01013","US PRESIDENT","RALPH NADER","GREEN","36","7803","20250821","TOTAL"
"2000","ALABAMA","AL","CALHOUN","01015","US PRESIDENT","AL GORE","DEMOCRAT","15781","38909","20250821","TOTAL"
"2000","ALABAMA","AL","CALHOUN","01015","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","22306","38909","20250821","TOTAL"
"2000","ALABAMA","AL","CALHOUN","01015","US PRESIDENT","OTHER","OTHER","341","38909","20250821","TOTAL"
"2000","ALABAMA","AL","CALHOUN","01015","US PRESIDENT","RALPH NADER","GREEN","481","38909","20250821","TOTAL"
"2000","ALABAMA","AL","CHAMBERS","01017","US PRESIDENT","AL GORE","DEMOCRAT","5616","11834","20250821","TOTAL"
"2000","ALABAMA","AL","CHAMBERS","01017","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","6037","11834","20250821","TOTAL"
"2000","ALABAMA","AL","CHAMBERS","01017","US PRESIDENT","OTHER","OTHER","86","11834","20250821","TOTAL"
"2000","ALABAMA","AL","CHAMBERS","01017","US PRESIDENT","RALPH NADER","GREEN","95","11834","20250821","TOTAL"
"2000","ALABAMA","AL","CHEROKEE","01019","US PRESIDENT","AL GORE","DEMOCRAT","3497","7823","20250821","TOTAL"
"2000","ALABAMA","AL","CHEROKEE","01019","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","4154","7823","20250821","TOTAL"
"2000","ALABAMA","AL","CHEROKEE","01019","US PRESIDENT","OTHER","OTHER","95","7823","20250821","TOTAL"
"2000","ALABAMA","AL","CHEROKEE","01019","US PRESIDENT","RALPH NADER","GREEN","77","7823","20250821","TOTAL"
"2000","ALABAMA","AL","CHILTON","01021","US PRESIDENT","AL GORE","DEMOCRAT","4806","15092","20250821","TOTAL"
"2000","ALABAMA","AL","CHILTON","01021","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","10066","15092","20250821","TOTAL"
"2000","ALABAMA","AL","CHILTON","01021","US PRESIDENT","OTHER","OTHER","128","15092","20250821","TOTAL"
"2000","ALABAMA","AL","CHILTON","01021","US PRESIDENT","RALPH NADER","GREEN","92","15092","20250821","TOTAL"
"2000","ALABAMA","AL","CHOCTAW","01023","US PRESIDENT","AL GORE","DEMOCRAT","3707","7374","20250821","TOTAL"
"2000","ALABAMA","AL","CHOCTAW","01023","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","3600","7374","20250821","TOTAL"
"2000","ALABAMA","AL","CHOCTAW","01023","US PRESIDENT","OTHER","OTHER","34","7374","20250821","TOTAL"
"2000","ALABAMA","AL","CHOCTAW","01023","US PRESIDENT","RALPH NADER","GREEN","33","7374","20250821","TOTAL"
"2000","ALABAMA","AL","CLARKE","01025","US PRESIDENT","AL GORE","DEMOCRAT","4679","10752","20250821","TOTAL"
"2000","ALABAMA","AL","CLARKE","01025","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","5988","10752","20250821","TOTAL"
"2000","ALABAMA","AL","CLARKE","01025","US PRESIDENT","OTHER","OTHER","52","10752","20250821","TOTAL"
"2000","ALABAMA","AL","CLARKE","01025","US PRESIDENT","RALPH NADER","GREEN","33","10752","20250821","TOTAL"
"2000","ALABAMA","AL","CLAY","01027","US PRESIDENT","AL GORE","DEMOCRAT","2045","5883","20250821","TOTAL"
"2000","ALABAMA","AL","CLAY","01027","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","3719","5883","20250821","TOTAL"
"2000","ALABAMA","AL","CLAY","01027","US PRESIDENT","OTHER","OTHER","67","5883","20250821","TOTAL"
"2000","ALABAMA","AL","CLAY","01027","US PRESIDENT","RALPH NADER","GREEN","52","5883","20250821","TOTAL"
"2000","ALABAMA","AL","CLEBURNE","01029","US PRESIDENT","AL GORE","DEMOCRAT","1664","5092","20250821","TOTAL"
"2000","ALABAMA","AL","CLEBURNE","01029","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","3333","5092","20250821","TOTAL"
"2000","ALABAMA","AL","CLEBURNE","01029","US PRESIDENT","OTHER","OTHER","56","5092","20250821","TOTAL"
"2000","ALABAMA","AL","CLEBURNE","01029","US PRESIDENT","RALPH NADER","GREEN","39","5092","20250821","TOTAL"
"2000","ALABAMA","AL","COFFEE","01031","US PRESIDENT","AL GORE","DEMOCRAT","5220","15434","20250821","TOTAL"
"2000","ALABAMA","AL","COFFEE","01031","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","9938","15434","20250821","TOTAL"
"2000","ALABAMA","AL","COFFEE","01031","US PRESIDENT","OTHER","OTHER","121","15434","20250821","TOTAL"
"2000","ALABAMA","AL","COFFEE","01031","US PRESIDENT","RALPH NADER","GREEN","155","15434","20250821","TOTAL"
"2000","ALABAMA","AL","COLBERT","01033","US PRESIDENT","AL GORE","DEMOCRAT","10543","21532","20250821","TOTAL"
"2000","ALABAMA","AL","COLBERT","01033","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","10518","21532","20250821","TOTAL"
"2000","ALABAMA","AL","COLBERT","01033","US PRESIDENT","OTHER","OTHER","263","21532","20250821","TOTAL"
"2000","ALABAMA","AL","COLBERT","01033","US PRESIDENT","RALPH NADER","GREEN","208","21532","20250821","TOTAL"
"2000","ALABAMA","AL","CONECUH","01035","US PRESIDENT","AL GORE","DEMOCRAT","2783","5551","20250821","TOTAL"
"2000","ALABAMA","AL","CONECUH","01035","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","2699","5551","20250821","TOTAL"
"2000","ALABAMA","AL","CONECUH","01035","US PRESIDENT","OTHER","OTHER","34","5551","20250821","TOTAL"
"2000","ALABAMA","AL","CONECUH","01035","US PRESIDENT","RALPH NADER","GREEN","35","5551","20250821","TOTAL"
"2000","ALABAMA","AL","COOSA","01037","US PRESIDENT","AL GORE","DEMOCRAT","2104","4567","20250821","TOTAL"
"2000","ALABAMA","AL","COOSA","01037","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","2382","4567","20250821","TOTAL"
"2000","ALABAMA","AL","COOSA","01037","US PRESIDENT","OTHER","OTHER","47","4567","20250821","TOTAL"
"2000","ALABAMA","AL","COOSA","01037","US PRESIDENT","RALPH NADER","GREEN","34","4567","20250821","TOTAL"
"2000","ALABAMA","AL","COVINGTON","01039","US PRESIDENT","AL GORE","DEMOCRAT","4440","13613","20250821","TOTAL"
"2000","ALABAMA","AL","COVINGTON","01039","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","8961","13613","20250821","TOTAL"
"2000","ALABAMA","AL","COVINGTON","01039","US PRESIDENT","OTHER","OTHER","89","13613","20250821","TOTAL"
"2000","ALABAMA","AL","COVINGTON","01039","US PRESIDENT","RALPH NADER","GREEN","123","13613","20250821","TOTAL"
"2000","ALABAMA","AL","CRENSHAW","01041","US PRESIDENT","AL GORE","DEMOCRAT","1934","4795","20250821","TOTAL"
"2000","ALABAMA","AL","CRENSHAW","01041","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","2793","4795","20250821","TOTAL"
"2000","ALABAMA","AL","CRENSHAW","01041","US PRESIDENT","OTHER","OTHER","28","4795","20250821","TOTAL"
"2000","ALABAMA","AL","CRENSHAW","01041","US PRESIDENT","RALPH NADER","GREEN","40","4795","20250821","TOTAL"
"2000","ALABAMA","AL","CULLMAN","01043","US PRESIDENT","AL GORE","DEMOCRAT","9758","29525","20250821","TOTAL"
"2000","ALABAMA","AL","CULLMAN","01043","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","19157","29525","20250821","TOTAL"
"2000","ALABAMA","AL","CULLMAN","01043","US PRESIDENT","OTHER","OTHER","328","29525","20250821","TOTAL"
"2000","ALABAMA","AL","CULLMAN","01043","US PRESIDENT","RALPH NADER","GREEN","282","29525","20250821","TOTAL"
"2000","ALABAMA","AL","DALE","01045","US PRESIDENT","AL GORE","DEMOCRAT","4906","15806","20250821","TOTAL"
"2000","ALABAMA","AL","DALE","01045","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","10593","15806","20250821","TOTAL"
"2000","ALABAMA","AL","DALE","01045","US PRESIDENT","OTHER","OTHER","119","15806","20250821","TOTAL"
"2000","ALABAMA","AL","DALE","01045","US PRESIDENT","RALPH NADER","GREEN","188","15806","20250821","TOTAL"
"2000","ALABAMA","AL","DALLAS","01047","US PRESIDENT","AL GORE","DEMOCRAT","10967","18464","20250821","TOTAL"
"2000","ALABAMA","AL","DALLAS","01047","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","7360","18464","20250821","TOTAL"
"2000","ALABAMA","AL","DALLAS","01047","US PRESIDENT","OTHER","OTHER","74","18464","20250821","TOTAL"
"2000","ALABAMA","AL","DALLAS","01047","US PRESIDENT","RALPH NADER","GREEN","63","18464","20250821","TOTAL"
"2000","ALABAMA","AL","DEKALB","01049","US PRESIDENT","AL GORE","DEMOCRAT","7056","20285","20250821","TOTAL"
"2000","ALABAMA","AL","DEKALB","01049","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","12827","20285","20250821","TOTAL"
"2000","ALABAMA","AL","DEKALB","01049","US PRESIDENT","OTHER","OTHER","227","20285","20250821","TOTAL"
"2000","ALABAMA","AL","DEKALB","01049","US PRESIDENT","RALPH NADER","GREEN","175","20285","20250821","TOTAL"
"2000","ALABAMA","AL","ELMORE","01051","US PRESIDENT","AL GORE","DEMOCRAT","6652","23804","20250821","TOTAL"
