"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
"2004","ALABAMA","AL","CHEROKEE","01019","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","5923","9049","20250821","TOTAL"
"2004","ALABAMA","AL","CHEROKEE","01019","US PRESIDENT","JOHN KERRY","DEMOCRAT","3040","9049","20250821","TOTAL"
"2004","ALABAMA","AL","CHEROKEE","01019","US PRESIDENT","OTHER","OTHER","86","9049","20250821","TOTAL"
"2004","ALABAMA","AL","CHILTON","01021","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","12829","16693","20250821","TOTAL"
"2004","ALABAMA","AL","CHILTON","01021","US PRESIDENT","JOHN KERRY","DEMOCRAT","3778","16693","20250821","TOTAL"
"2004","ALABAMA","AL","CHILTON","01021","US PRESIDENT","OTHER","OTHER","86","16693","20250821","TOTAL"
"2004","ALABAMA","AL","CHOCTAW","01023","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","3897","7227","20250821","TOTAL"
"2004","ALABAMA","AL","CHOCTAW","01023","US PRESIDENT","JOHN KERRY","DEMOCRAT","3303","7227","20250821","TOTAL"
"2004","ALABAMA","AL","CHOCTAW","01023","US PRESIDENT","OTHER","OTHER","27","7227","20250821","TOTAL"
"2004","ALABAMA","AL","CLARKE","01025","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","6730","11394","20250821","TOTAL"
"2004","ALABAMA","AL","CLARKE","01025","US PRESIDENT","JOHN KERRY","DEMOCRAT","4627","11394","20250821","TOTAL"
"2004","ALABAMA","AL","CLARKE","01025","US PRESIDENT","OTHER","OTHER","37","11394","20250821","TOTAL"
"2004","ALABAMA","AL","CLAY","01027","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","4624","6576","20250821","TOTAL"
"2004","ALABAMA","AL","CLAY","01027","US PRESIDENT","JOHN KERRY","DEMOCRAT","1893","6576","20250821","TOTAL"
"2004","ALABAMA","AL","CLAY","01027","US PRESIDENT","OTHER","OTHER","59","6576","20250821","TOTAL"
"2004","ALABAMA","AL","CLEBURNE","01029","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","4370","5798","20250821","TOTAL"
"2004","ALABAMA","AL","CLEBURNE","01029","US PRESIDENT","JOHN KERRY","DEMOCRAT","1391","5798","20250821","TOTAL"
"2004","ALABAMA","AL","CLEBURNE","01029","US PRESIDENT","OTHER","OTHER","37","5798","20250821","TOTAL"
"2004","ALABAMA","AL","COFFEE","01031","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","13019","17616","20250821","TOTAL"
"2004","ALABAMA","AL","COFFEE","01031","US PRESIDENT","JOHN KERRY","DEMOCRAT","4480","17616","20250821","TOTAL"
"2004","ALABAMA","AL","COFFEE","01031","US PRESIDENT","OTHER","OTHER","117","17616","20250821","TOTAL"
"2004","ALABAMA","AL","COLBERT","01033","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","13188","23935","20250821","TOTAL"
"2004","ALABAMA","AL","COLBERT","01033","US PRESIDENT","JOHN KERRY","DEMOCRAT","10598","23935","20250821","TOTAL"
"2004","ALABAMA","AL","COLBERT","01033","US PRESIDENT","OTHER","OTHER","149","23935","20250821","TOTAL"
"2004","ALABAMA","AL","CONECUH","01035","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","3271","6021","20250821","TOTAL"
"2004","ALABAMA","AL","CONECUH","01035","US PRESIDENT","JOHN KERRY","DEMOCRAT","2719","6021","20250821","TOTAL"
"2004","ALABAMA","AL","CONECUH","01035","US PRESIDENT","OTHER","OTHER","31","6021","20250821","TOTAL"
"2004","ALABAMA","AL","COOSA","01037","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","2905","5001","20250821","TOTAL"
"2004","ALABAMA","AL","COOSA","01037","US PRESIDENT","JOHN KERRY","DEMOCRAT","2055","5001","20250821","TOTAL"
"2004","ALABAMA","AL","COOSA","01037","US PRESIDENT","OTHER","OTHER","41","5001","20250821","TOTAL"
"2004","ALABAMA","AL","COVINGTON","01039","US PRESIDENT","GEORGE W. BUSH","REPUBLICAN","11119","14627","20250821","TOTAL"
"2004","ALABAMA","AL","COVINGTON","01039","US PRESIDENT","JOHN KERRY","DEMOCRAT","3423","14627","20250821","TOTAL"
"2004","ALABAMA","AL","COVINGTON","01039","US PRESIDENT","OTHER","OTHER","85","14627","20250821","TOTAL"
