"year","state","state_po","county_name","county_fips","office","candidate","party","candidatevotes","totalvotes","version","mode"
"2012","CONNECTICUT","CT","WINDHAM","09015","US PRESIDENT","OTHER","OTHER","769","46494","20250821","TOTAL"
"2012","IOWA","IA","BUTLER","19023","US PRESIDENT","BARACK OBAMA","DEMOCRAT","3329","7545","20250821","TOTAL"
"2012","KANSAS","KS","HODGEMAN","20083","US PRESIDENT","OTHER","OTHER","13","1060","20250821","TOTAL"
"2012","KENTUCKY","KY","TODD","21219","US PRESIDENT","OTHER","OTHER","68","4718","20250821","TOTAL"
"2012","LOUISIANA","LA","BEAUREGARD","22011","US PRESIDENT","OTHER","OTHER","285","14225","20250821","TOTAL"
"2012","MICHIGAN","MI","CASS","26027","US PRESIDENT","OTHER","OTHER","240","22490","20250821","TOTAL"
"2012","MISSISSIPPI","MS","SUNFLOWER","28133","US PRESIDENT","OTHER","OTHER","100","11228","20250821","TOTAL"
"2012","NEW YORK","NY","ULSTER","36111","US PRESIDENT","OTHER","OTHER","8906","78315","20250821","TOTAL"
"2012","PENNSYLVANIA","PA","CARBON","42025","US PRESIDENT","OTHER","OTHER","497","25581","20250821","TOTAL"
"2012","SOUTH CAROLINA","SC","HORRY","45051","US PRESIDENT","OTHER","OTHER","1381","112393","20250821","TOTAL"
"2012","TENNESSEE","TN","CARROLL","47017","US PRESIDENT","OTHER","OTHER","151","10851","20250821","TOTAL"
"2012","VIRGINIA","VA","MIDDLESEX","51119","US PRESIDENT","OTHER","OTHER","91","6080","20250821","TOTAL"
"2012","WEST VIRGINIA","WV","WETZEL","54103","US PRESIDENT","OTHER","OTHER","166","5856","20250821","TOTAL"
"2012","ALABAMA","AL","AUTAUGA","01001","US PRESIDENT","BARACK OBAMA","DEMOCRAT","6363","23932","20250821","TOTAL"
"2012","ALABAMA","AL","AUTAUGA","01001","US PRESIDENT","MITT ROMNEY","REPUBLICAN","17379","23932","20250821","TOTAL"
"2012","ALABAMA","AL","AUTAUGA","01001","US PRESIDENT","OTHER","OTHER","190","23932","20250821","TOTAL"
"2012","ALABAMA","AL","BALDWIN","01003","US PRESIDENT","BARACK OBAMA","DEMOCRAT","18424","85338","20250821","TOTAL"
"2012","ALABAMA","AL","BALDWIN","01003","US PRESIDENT","MITT ROMNEY","REPUBLICAN","66016","85338","20250821","TOTAL"
"2012","ALABAMA","AL","BALDWIN","01003","US PRESIDENT","OTHER","OTHER","898","85338","20250821","TOTAL"
"2012","ALABAMA","AL","BARBOUR","01005","US PRESIDENT","BARACK OBAMA","DEMOCRAT","5912","11509","20250821","TOTAL"
"2012","ALABAMA","AL","BARBOUR","01005","US PRESIDENT","MITT ROMNEY","REPUBLICAN","5550","11509","20250821","TOTAL"
"2012","ALABAMA","AL","BARBOUR","01005","US PRESIDENT","OTHER","OTHER","47","11509","20250821","TOTAL"
"2012","ALABAMA","AL","BIBB","01007","US PRESIDENT","BARACK OBAMA","DEMOCRAT","2202","8420","20250821","TOTAL"
"2012","ALABAMA","AL","BIBB","01007","US PRESIDENT","MITT ROMNEY","REPUBLICAN","6132","8420","20250821","TOTAL"
"2012","ALABAMA","AL","BIBB","01007","US PRESIDENT","OTHER","OTHER","86","8420","20250821","TOTAL"
"2012","ALABAMA","AL","BLOUNT","01009","US PRESIDENT","BARACK OBAMA","DEMOCRAT","2970","24006","20250821","TOTAL"
"2012","ALABAMA","AL","BLOUNT","01009","US PRESIDENT","MITT ROMNEY","REPUBLICAN","20757","24006","20250821","TOTAL"
"2012","ALABAMA","AL","BLOUNT","01009","US PRESIDENT","OTHER","OTHER","279","24006","20250821","TOTAL"
"2012","ALABAMA","AL","BULLOCK","01011","US PRESIDENT","BARACK OBAMA","DEMOCRAT","4061","5322","20250821","TOTAL"
